text,intent
भाई कितने बजे हैं जल्दी,time
सुनना बंद करो,exit
5 गुणा 20,math
Humidity bata do,sensor
17 प्लस 83,math
30 डिवाइड 5,math
77 माइनस 27,math
बातचीत खत्म करो,exit
वर्ष कौन सा है भाई,date
27 गुना 41,math
केम छो भाई,greeting
94 14 भाग दो,math
इंट्रोडक्शन दो,identity
25 16 गुणा,math
26 और 74 जोड़ो,math
36 प्लस 64,math
चुप रहो भाई,exit
भाई अभी का समय बताओ जल्दी,time
आज की तारीख क्या है प्लीज,date
जोड़ कर बताओ 3 8,math
Room environment check,sensor
3 इंटू 4 कितना है,math
49 और 51 का जोड़,math
नमस्कार,greeting
दिन और तारीख,date
एग्जिट दोस्त,exit
Tapman kitna hai,sensor
कितने बजे हैं प्लीज,time
इनको जोड़ो 36 64,math
कितने बजे हैं जल्दी,time
89 डिवाइड 74 कितना है,math
नमस्कार जी सर,greeting
अलविदा,exit
Mausam vibhag (local),sensor
प्रणाम जी,greeting
रुको भाई,exit
41 और 53 जोड़ो,math
इनका जोड़ क्या है 30 76,math
आज डेट क्या है प्लीज,date
बाहर निकलो,exit
आज की तारीख क्या है,date
तुम्हारी पहचान क्या है प्लीज,identity
ह्यूमिडिटी लेवल चेक करो,sensor
Room temperature kya hai,sensor
Kya tum sun sakte ho,identity
Sardi kitni hai,sensor
78 से 23 घटाओ,math
जोड़ कर बताओ 46 54,math
इनको घटाओ 84 85,math
शुभ रात्रि,exit
लोकल तापमान बताओ,sensor
घटाना है 95 45,math
जोड़ो 67 और 89,math
अपना परिचय दो जी,identity
अपना नाम बताओ प्लीज,identity
Hu r u,identity
ओ भाई,greeting
भाग दो 63 7,math
कल मिलेंगे दोस्त,exit
भाई जरा समय बताना प्लीज,time
हाय मास्टर,greeting
अभी का समय बताओ जल्दी,time
टाइमर चालू करो 32 मिनट,time
DHT reading dikhao,sensor
हाय जी,greeting
हाय,greeting
Temperature abhi,sensor
भाई घड़ी देख कर बताओ भाई,time
2 5 का गुणा,math
तिथि क्या है प्लीज,date
भाई घड़ी में क्या समय है प्लीज,time
83 16 घटा दो,math
सेंसर क्या कह रहा है,sensor
तिथि बताओ,date
आज की डेट क्या है भाई,date
Temperature check,sensor
100 को 25 से भाग दो,math
भाई जरा समय बताना,time
गुड नाइट दोस्त,exit
रुको,exit
40 27 घटा दो,math
Mausam kaisa hai room mein,sensor
17 मिनट का टाइमर लगाओ,time
Cold check,sensor
अभी क्या वक्त हुआ है जल्दी,time
सलाम सर,greeting
तारीख क्या है भाई,date
1 5 घटा दो,math
अभी कितना बजा है जल्दी,time
इनको जोड़ो 41 59,math
एग्जिट करो दोस्त,exit
डिग्री सेल्सियस में बताओ,sensor
हाय दोस्त जी,greeting
86 का 34 से गुणा,math
भाई टाइम क्या है भाई,time
टाइमर चालू करो 24 मिनट,time
89 से 39 घटाओ,math
5 का 20 से गुणनफल,math
Tapman mapo,sensor
13 प्लस 87,math
56 प्लस 34 कितना,math
जय श्री राम मास्टर,greeting
हाय भाई,greeting
घड़ी में क्या समय है प्लीज,time
57 से 7 निकालो,math
81 41 जोड़ दो,math
नमस्कार जी भाई,greeting
आज कौन सा दिवस है भाई,date
AC chalana chahiye kya,sensor
Humidity mapo,sensor
Sensor check,sensor
89 और 11 का जोड़,math
82 माइनस 32,math
कल मिलेंगे,exit
29 से 17 घटाओ,math
Kya room garam hai,sensor
गुड आफ्टरनून सर,greeting
घटाना है 80 29,math
शक संवत बताओ,date
इनको भाग करो 33 60,math
51 87 गुणा,math
हाय वहां दोस्त,greeting
70 53 जोड़ दो,math
60 66 घटा दो,math
24 और 76 जोड़ो,math
प्रोग्राम एंड करो,exit
सलाम वालेकुम भाई,greeting
8 गुणा 11,math
Check moisture level,sensor
आज का पंचांग भाई,date
टाइमर चालू करो 30 मिनट,time
इनको जोड़ो 38 62,math
गुणा करना 12 4,math
सुप्रभात,greeting
परिचय दो प्लीज,identity
Temperature bata do,sensor
घटाओ 100 25,math
8 का 8 से गुणा,math
15 और 85 का जोड़,math
89 माइनस 39,math
भाग करो 77 को 7 से,math
81 को 9 से भाग दो,math
अभी क्या वक्त हुआ है,time
7 2 गुणा,math
हाय दोस्त मास्टर,greeting
बस करो दोस्त,exit
और बताओ,greeting
भाग दो 100 20,math
85 गुना 12,math
तिथि क्या है भाई,date
इनको घटाओ 61 25,math
54 से 4 निकालो,math
इनको भाग करो 57 2,math
Intro please,identity
10 गुणा 11,math
जाओ अब,exit
डेट प्लीज भाई,date
जोड़ो 52 48,math
Day of the week,date
4 मिनट बाद बताना,time
42 और 18 गुणा करो,math
समय बताओ,time
जोड़ कर बताओ 19 81,math
4 को 45 से भाग दो,math
10 का 10 से गुणा,math
कैलेंडर में देखो आज क्या है,date
1 माइनस 9 कितना है,math
टाइम क्या है जल्दी,time
3 38 का गुणा,math
नमस्ते,greeting
भाग दो 169 13,math
दो नंबर जोड़ो 89 36,math
भाई मुझे समय जानना है प्लीज,time
जय श्री राम सर,greeting
सप्ताह का कौन सा वार है,date
तुम्हारा नाम क्या है प्लीज,identity
73 माइनस 23,math
Sensor status,sensor
आज का दिन बताओ,date
गुणा करना 9 11,math
सी यू भाई,exit
तुम कौन हो भाई,identity
तुम्हारा मालिक कौन है,identity
भाई टाइम प्लीज भाई,time
14 प्लस 86,math
तुम किसने बनाया जी,identity
घटाओ 70 10,math
घटाकर बताओ 90 15,math
इनका जोड़ क्या है 95 74,math
30 21 जोड़ दो,math
86 10 घटा दो,math
46 प्लस 54,math
38 प्लस 62,math
नमस्ते जी मास्टर,greeting
प्रणाम,greeting
45 प्लस 55,math
Creator ka naam batao,identity
कौन सी तारीख है आज प्लीज,date
गुणा करना है 6 98,math
बंद करो दोस्त,exit
12 5 जोड़ दो,math
Room ka temperature batao,sensor
हु आर यू,identity
तारीख क्या है आज,date
तीन मिनट का टाइमर लगाओ,time
Tumhari age kya hai,identity
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
पाँच गुना दस करो, math
